file,sites,sites_coding,sites_noncoding,pi,pi_coding,pi_noncoding,N_sites,S_sites,piN,piS,mean_dN_vs_ref,mean_dS_vs_ref,mean_gdiv_polymorphic,mean_N_gdiv,mean_S_gdiv,mean_gdiv,sites_polymorphic,mean_gdiv_coding_poly,sites_coding_poly,mean_gdiv_noncoding_poly,sites_noncoding_poly
vcfs_1.25.21/Cat_1_R.vcf,29882,29102,780,1.60E-05,1.64E-05,0,22340.50897,6762.491029,1.19E-06,6.67E-05,4.42E-05,5.07E-05,0.238625653,0.026551818,0.450699488,1.60E-05,2,0.238625653,2,*,0
vcfs_1.25.21/Cat_2_R.vcf,29882,29102,780,0.000184352,0.000189293,0,22340.90506,6762.094939,0.00020121,0.000149891,0.000145063,8.80E-05,0.239217492,0.264180134,0.168490004,0.000184124,23,0.239217492,23,*,0
vcfs_1.25.21/Cat_3_R.vcf,29882,29102,780,0.000173428,0.000178076,0,22341.34994,6761.650062,0.000206159,8.53E-05,0.000165145,4.83E-05,0.184923334,0.191733634,0.144061535,0.000173277,28,0.184923334,28,*,0
vcfs_1.25.21/Cat_4_R.vcf,29882,29102,780,0.00015747,0.000161691,0,22341.53072,6761.469275,0.000194501,5.33E-05,0.00015454,3.02E-05,0.235058257,0.241177099,0.179988679,0.000157324,20,0.235058257,20,*,0
vcfs_1.25.21/Cat_5.vcf,29882,29102,780,2.77E-05,2.85E-05,0,22339.8295,6763.1705,3.32E-05,1.29E-05,0.000106253,6.76E-06,0.082702042,0.092462863,0.087317509,2.77E-05,10,0.082702042,10,*,0
vcfs_1.25.21/Cat_6_R.vcf,29882,29102,780,1.89E-05,1.94E-05,0,22339.83413,6763.165872,2.53E-05,0,0.0001013,0,0.094204357,0.094204357,*,1.89E-05,6,0.094204357,6,*,0
vcfs_1.25.21/Dog_1_R.vcf,29882,29102,780,0.000193848,0.000199044,0,22340.99323,6762.006771,0.000218746,0.00013392,0.000267451,0.000124035,0.251687102,0.271301742,0.181074395,0.000193722,23,0.251687102,23,*,0
vcfs_1.25.21/Dog_2_R.vcf,29882,29102,780,0.000244595,0.00025115,0,22340.77288,6762.22712,0.000269331,0.000191048,0.000169538,0.000114548,0.221166772,0.22248575,0.215231374,0.000244244,33,0.221166772,33,*,0
vcfs_1.25.21/Dog_3_R.vcf,29882,29102,780,0.000225335,0.000231374,0,22341.33293,6761.667073,0.000261508,0.000131774,0.000271185,9.92E-05,0.320154521,0.324019356,0.29696551,0.000224993,21,0.320154521,21,*,0
vcfs_1.25.21/Ferret_1_R.vcf,29882,29102,780,6.57E-05,6.74E-05,0,22341.65916,6761.340843,6.51E-05,7.52E-05,0.000271633,4.58E-05,0.108937093,0.096898487,0.169130126,6.56E-05,18,0.108937093,18,*,0
vcfs_1.25.21/Hamster_1_R.vcf,29882,29102,780,0.00012484,0.000128186,0,22341.58921,6761.410787,0.000163298,1.21E-05,0.000147435,6.34E-06,0.196049936,0.20238379,0.082040555,0.000124655,19,0.196049936,19,*,0
vcfs_1.25.21/Hamster_2_R.vcf,29882,29102,780,0.00011017,0.00011312,0,22341.5141,6761.48587,0.00014735,0,0.00015675,0,0.23493034,0.23493034,*,0.00011007,14,0.23493034,14,*,0
vcfs_1.25.21/Hamster_3_R.vcf,29882,29102,780,0.00014479,0.00014867,0,22341.4586,6761.54143,0.00018266,3.63E-05,0.00015362,1.95E-05,0.19634453,0.20370345,0.12275531,0.00014455,22,0.19634453,22,*,0
vcfs_1.25.21/Passage_1_R.vcf,29882,29102,780,3.18E-05,3.27E-05,0,22341.2722,6761.72779,4.25E-05,0,2.39E-05,0,0.15788419,0.15788419,*,3.17E-05,6,0.15788419,6,*,0
vcfs_1.25.21/Passage_2_R.vcf,29882,29102,780,0.000100328,0.000103017,0,22341.74104,6761.258959,0.000134188,0,0.000107028,0,0.230185591,0.230185591,*,0.000100141,13,0.230185591,13,*,0
vcfs_1.25.21/Passage_3_R.vcf,29882,29102,780,2.88E-05,2.96E-05,0,22342.1624,6760.83764,2.64E-05,4.01E-05,0.00021687,2.21E-05,0.10717638,0.09774913,0.13545811,2.87E-05,8,0.10717638,8,*,0
