file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
vcfs_1.25.21/Dog_1_R.vcf	E	0	0.0968261030257331	0	0.050978	164.166666666667	60.8333333333334	0	0.0015916619675463	0	0.000837994520547945	0.096758487032	*	0.096758487032
vcfs_1.25.21/Dog_1_R.vcf	M	0.175202376680598	0	0.096927	0	502.365642333334	163.634357666667	0.000348754695617393	0	0.000192941140540193	0	0.175064313342	0.175064313342	*
vcfs_1.25.21/Dog_1_R.vcf	N	0.304028345560438	0.47603840368901	0.167341	0.609541	959.166666666664	297.833333333333	0.000316971342026522	0.00159833823286741	0.000174464986967855	0.00204658421936206	0.260001063436	0.152000825835	0.476001538638
vcfs_1.25.21/Dog_1_R.vcf	S	0.681057933924475	0	0.998554	0	2926.58233466666	892.417665333337	0.000232714427971851	0	0.000341201403484087	0	0.226920484678667	0.226920484678667	*
vcfs_1.25.21/Dog_1_R.vcf	orf10	0	0	0	0	87.6666666666667	26.3333333333333	0	0	0	0	*	*	*
vcfs_1.25.21/Dog_1_R.vcf	orf1ab	3.22778392109085	0.182576697354952	4.188446	0.096482	16372.2119189995	4915.78808099999	0.000197150143002064	3.71408804339287e-05	0.000255826520003655	1.96269648752583e-05	0.262097386873538	0.293158282734545	0.0912624596379999
vcfs_1.25.21/Dog_1_R.vcf	orf3a	0	0	0	0	628.333333333333	196.666666666667	0	0	0	0	*	*	*
vcfs_1.25.21/Dog_1_R.vcf	orf6	0	0	0	0	146	37	0	0	0	0	*	*	*
vcfs_1.25.21/Dog_1_R.vcf	orf7a	0	0	0	0	274.333333333333	88.6666666666667	0	0	0	0	*	*	*
vcfs_1.25.21/Dog_1_R.vcf	orf8	0.498936269728883	0.150127925080347	0.523845	0.081722	280.166666666667	82.8333333333333	0.00178085521616496	0.00181240955831404	0.00186976204640095	0.000986583501006036	0.324474930691	0.49886283195	0.150087029432
