file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
vcfs_1.25.21/Cat_5.vcf	E	0	0	0	0	164.166666666667	60.8333333333334	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_5.vcf	M	0	0	0	0	502.333333333334	163.666666666667	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_5.vcf	N	0	0	0	0	959.166666666664	297.833333333333	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_5.vcf	S	0.0993560442854023	0	2.029881	0	2925.31341266666	893.686587333337	3.39642391325281e-05	0	0.000693902058907801	0	0.0330801673566667	0.049620251035	*
vcfs_1.25.21/Cat_5.vcf	orf10	0	0	0	0	87.6666666666667	26.3333333333333	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_5.vcf	orf1ab	0.641614622005893	0.087508158574952	0.343801	0.045752	16372.3494209995	4915.65057899998	3.91889157449171e-05	1.7801948525144e-05	2.09988799505484e-05	9.30741501347876e-06	0.103968559204857	0.106743734240333	0.087317508992
vcfs_1.25.21/Cat_5.vcf	orf3a	0	0	0	0	628.333333333333	196.666666666667	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_5.vcf	orf6	0	0	0	0	146	37	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_5.vcf	orf7a	0	0	0	0	274.333333333333	88.6666666666667	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_5.vcf	orf8	0	0	0	0	280.166666666667	82.8333333333333	0	0	0	0	*	*	*
